transaction_id,account_id,timestamp,merchant,category,amount,location,status,home_location
TXN00063,ACC00012,2026-04-01 08:26:00,Online Transfer,Transfer,128.51,"Adelaide, SA",completed,"Adelaide, SA"
TXN00058,ACC00037,2026-04-01 09:50:00,Harvey Norman,Electronics,647.91,"Brisbane, QLD",completed,"Brisbane, QLD"
TXN00117,ACC00011,2026-04-01 10:55:00,Chemist Warehouse,Pharmacy,415.35,"Melbourne, VIC",completed,"Melbourne, VIC"
TXN00153,ACC00030,2026-04-01 18:15:00,International Wire,Transfer,360.57,"Melbourne, VIC",completed,"Melbourne, VIC"
TXN00110,ACC00009,2026-04-01 21:23:00,Unknown Merchant,Unknown,2612.29,"Newcastle, NSW",completed,"Brisbane, QLD"
TXN00028,ACC00036,2026-04-02 00:07:00,Bunnings,Hardware,387.91,"Brisbane, QLD",completed,"Brisbane, QLD"
TXN00022,ACC00046,2026-04-02 01:18:00,International Wire,Transfer,1125.48,"Perth, WA",completed,"Perth, WA"
TXN00179,ACC00012,2026-04-02 02:13:00,Bunnings,Hardware,1259.94,"Adelaide, SA",completed,"Adelaide, SA"
TXN00168,ACC00041,2026-04-02 11:20:00,Netflix,Subscription,23.59,"Hobart, TAS",completed,"Hobart, TAS"
TXN00161,ACC00009,2026-04-03 03:03:00,International Wire,Transfer,130.48,"Brisbane, QLD",completed,"Brisbane, QLD"
TXN00048,ACC00010,2026-04-03 03:34:00,Apple Store,Digital,31.97,"Sydney, NSW",completed,"Sydney, NSW"
TXN00170,ACC00045,2026-04-03 09:31:00,Harvey Norman,Electronics,6652.38,"Newcastle, NSW",completed,"Newcastle, NSW"
TXN00044,ACC00033,2026-04-03 15:29:00,BP,Fuel,47.38,"Canberra, ACT",completed,"Canberra, ACT"
TXN00193,ACC00043,2026-04-03 16:11:00,Luxury Jewellers,Luxury,1163.66,"Gold Coast, QLD",completed,"Gold Coast, QLD"
TXN00006,ACC00041,2026-04-03 21:05:00,Crypto Exchange,Crypto,99.33,"Hobart, TAS",completed,"Hobart, TAS"
TXN00032,ACC00032,2026-04-03 23:52:00,Casino Online,Gambling,3865.89,"Gold Coast, QLD",completed,"Gold Coast, QLD"
TXN00137,ACC00039,2026-04-04 04:15:00,7-Eleven,Convenience,811.78,"Brisbane, QLD",completed,"Brisbane, QLD"
TXN00039,ACC00014,2026-04-04 11:08:00,7-Eleven,Convenience,352.92,"Brisbane, QLD",completed,"Brisbane, QLD"
TXN00017,ACC00037,2026-04-04 11:35:00,JB Hi-Fi,Electronics,1174.68,"Brisbane, QLD",completed,"Brisbane, QLD"
TXN00068,ACC00003,2026-04-04 15:32:00,Chemist Warehouse,Pharmacy,187.61,"Sydney, NSW",completed,"Gold Coast, QLD"
TXN00002,ACC00005,2026-04-04 23:09:00,Coles,Groceries,241.66,"Darwin, NT",completed,"Darwin, NT"
TXN00184,ACC00007,2026-04-05 00:14:00,BP,Fuel,65.77,"Brisbane, QLD",completed,"Brisbane, QLD"
TXN00035,ACC00037,2026-04-05 01:32:00,Chemist Warehouse,Pharmacy,560.16,"Brisbane, QLD",completed,"Brisbane, QLD"
TXN00129,ACC00019,2026-04-05 03:11:00,Casino Online,Gambling,781.89,"Perth, WA",completed,"Adelaide, SA"
TXN00162,ACC00029,2026-04-05 10:26:00,Coles,Groceries,256.05,"Canberra, ACT",completed,"Canberra, ACT"
TXN00190,ACC00024,2026-04-05 11:38:00,Kmart,Retail,334.39,"Darwin, NT",completed,"Darwin, NT"
TXN00127,ACC00038,2026-04-05 11:39:00,Apple Store,Digital,19.1,"Melbourne, VIC",completed,"Melbourne, VIC"
TXN00124,ACC00028,2026-04-05 11:45:00,Unknown Merchant,Unknown,99.28,"Adelaide, SA",completed,"Adelaide, SA"
TXN00066,ACC00019,2026-04-05 14:00:00,7-Eleven,Convenience,329.19,"Adelaide, SA",completed,"Adelaide, SA"
TXN00038,ACC00005,2026-04-05 21:12:00,Woolworths,Groceries,34.41,"Darwin, NT",completed,"Darwin, NT"
TXN00070,ACC00010,2026-04-06 04:25:00,International Wire,Transfer,313.58,"Sydney, NSW",completed,"Sydney, NSW"
TXN00052,ACC00048,2026-04-06 06:04:00,Chemist Warehouse,Pharmacy,159.19,"Melbourne, VIC",completed,"Melbourne, VIC"
TXN00010,ACC00009,2026-04-06 07:45:00,7-Eleven,Convenience,69.61,"Brisbane, QLD",completed,"Brisbane, QLD"
TXN00088,ACC00002,2026-04-06 12:56:00,Crypto Exchange,Crypto,2592.65,"Adelaide, SA",completed,"Adelaide, SA"
TXN00089,ACC00017,2026-04-06 13:06:00,Luxury Jewellers,Luxury,944.46,"Perth, WA",completed,"Perth, WA"
TXN00105,ACC00045,2026-04-06 19:47:00,Shell,Fuel,97.7,"Newcastle, NSW",completed,"Newcastle, NSW"
TXN00092,ACC00045,2026-04-06 20:13:00,Luxury Jewellers,Luxury,965.66,"Newcastle, NSW",completed,"Newcastle, NSW"
TXN00060,ACC00005,2026-04-07 00:07:00,Casino Online,Gambling,290.7,"Sydney, NSW",completed,"Darwin, NT"
TXN00191,ACC00006,2026-04-07 06:07:00,Apple Store,Digital,21.69,"Canberra, ACT",completed,"Canberra, ACT"
TXN00045,ACC00028,2026-04-07 06:53:00,BWS,Alcohol,258.47,"Adelaide, SA",completed,"Adelaide, SA"
TXN00008,ACC00032,2026-04-07 16:30:00,Spotify,Subscription,2386.42,"Sydney, NSW",completed,"Gold Coast, QLD"
TXN00144,ACC00029,2026-04-07 21:27:00,Bunnings,Hardware,169.89,"Canberra, ACT",completed,"Canberra, ACT"
TXN00178,ACC00015,2026-04-07 22:02:00,DoorDash,Food Delivery,1377.29,"Sydney, NSW",completed,"Darwin, NT"
TXN00120,ACC00013,2026-04-08 02:44:00,Apple Store,Digital,32.25,"Adelaide, SA",completed,"Adelaide, SA"
TXN00128,ACC00027,2026-04-08 04:39:00,DoorDash,Food Delivery,1448.61,"Gold Coast, QLD",completed,"Gold Coast, QLD"
TXN00112,ACC00032,2026-04-08 05:43:00,JB Hi-Fi,Electronics,221.58,"Gold Coast, QLD",completed,"Gold Coast, QLD"
TXN00065,ACC00044,2026-04-09 01:20:00,Harvey Norman,Electronics,807.68,"Adelaide, SA",completed,"Adelaide, SA"
TXN00151,ACC00034,2026-04-09 01:40:00,Apple Store,Digital,10.25,"Darwin, NT",completed,"Darwin, NT"
TXN00050,ACC00048,2026-04-09 09:23:00,Kmart,Retail,353.75,"Darwin, NT",completed,"Melbourne, VIC"
TXN00099,ACC00025,2026-04-09 14:37:00,DoorDash,Food Delivery,200.14,"Newcastle, NSW",completed,"Newcastle, NSW"
TXN00106,ACC00021,2026-04-09 18:13:00,Bunnings,Hardware,84.7,"Darwin, NT",completed,"Darwin, NT"
TXN00140,ACC00049,2026-04-09 22:03:00,ANZ ATM,Cash Withdrawal,491.35,"Brisbane, QLD",completed,"Brisbane, QLD"
TXN00059,ACC00035,2026-04-10 07:12:00,Casino Online,Gambling,152.05,"Hobart, TAS",completed,"Hobart, TAS"
TXN00067,ACC00049,2026-04-10 09:30:00,Chemist Warehouse,Pharmacy,67.47,"Brisbane, QLD",completed,"Brisbane, QLD"
TXN00155,ACC00028,2026-04-10 09:35:00,Crypto Exchange,Crypto,399.76,"Adelaide, SA",completed,"Adelaide, SA"
TXN00176,ACC00018,2026-04-10 23:40:00,Harvey Norman,Electronics,411.27,"Adelaide, SA",completed,"Sydney, NSW"
TXN00194,ACC00039,2026-04-11 00:22:00,Uber Eats,Food Delivery,70.34,"Brisbane, QLD",completed,"Brisbane, QLD"
TXN00029,ACC00049,2026-04-11 01:28:00,Chemist Warehouse,Pharmacy,347.21,"Brisbane, QLD",completed,"Brisbane, QLD"
TXN00077,ACC00010,2026-04-11 01:41:00,Harvey Norman,Electronics,7978.41,"Sydney, NSW",completed,"Sydney, NSW"
TXN00200,ACC00048,2026-04-11 02:58:00,International Wire,Transfer,156.72,"Brisbane, QLD",completed,"Melbourne, VIC"
TXN00159,ACC00019,2026-04-11 07:12:00,Luxury Jewellers,Luxury,782.11,"Sydney, NSW",completed,"Adelaide, SA"
